idx_NUTS3,1,2,3,4,5,6,7
DK042,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DK050,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DKZZZ,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE111,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE112,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE113,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE114,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE115,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE116,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE117,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE118,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE119,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE11A,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE11B,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE11C,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE11D,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE121,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE122,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE123,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE124,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE125,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE126,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE127,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE128,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE129,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE12A,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE12B,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE12C,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE131,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE132,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE133,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE134,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE135,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE136,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE137,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE138,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE139,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE13A,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE141,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE142,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE143,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE144,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE145,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE146,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE147,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE148,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE149,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE211,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE212,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE213,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE214,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE215,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE216,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE217,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE218,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE219,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE21A,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE21B,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE21C,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE21D,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE21E,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE21F,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE21G,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE21H,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE21I,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE21J,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE21K,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE21L,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE21M,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE21N,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE221,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE222,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE223,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE224,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE225,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE226,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE227,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE228,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE229,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE22A,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE22B,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE22C,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE231,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE232,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE233,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE234,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE235,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE236,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE237,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE238,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE239,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE23A,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE241,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE242,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE243,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE244,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE245,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE246,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE247,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE248,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE249,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE24A,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE24B,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE24C,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE24D,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE251,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE252,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE253,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE254,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE255,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE256,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE257,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE258,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE259,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE25A,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE25B,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE25C,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE261,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE262,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE263,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE264,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE265,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE266,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE267,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE268,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE269,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE26A,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE26B,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE26C,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE271,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE272,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE273,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE274,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE275,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE276,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE277,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE278,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE279,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE27A,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE27B,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE27C,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE27D,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE27E,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE300,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE401,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE402,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE403,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE404,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE405,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE406,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE407,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE408,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE409,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE40A,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE40B,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE40C,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE40D,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE40E,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE40F,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE40G,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE40H,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE40I,0.299,0.34,0.025,0.025,0.052,0.157,0.157
