country,NUTS0_ID,type_of_building,heating_equipment,year,heating_or_cooling,price_index_households_appliances,labour_cost_index_construction_sector,equipment_and_maintenance_index,specific_investment_costs,equipment_cost_ share,installation_cost_share,fixed_O_and_M,variable_O_and_M,technical_lifetime,total_annual_net_efficiency
Austria,AT,new MFH,Bio-oil boiler,2030,heating,0.82,0.81,0.9,143,0.7,0.3,3,0.025,20,0.88
Belgium,BE,new MFH,Bio-oil boiler,2030,heating,0.92,0.88,0.88,159,0.7,0.3,3,0.025,20,0.88
Bulgaria,BG,new MFH,Bio-oil boiler,2030,heating,0.73,0.09,0.52,95,0.7,0.3,2,0.025,20,0.88
Croatia,HR,new MFH,Bio-oil boiler,2030,heating,0.83,0.23,0.66,114,0.7,0.3,2,0.025,20,0.88
Cyprus,CY,new MFH,Bio-oil boiler,2030,heating,1.02,0.36,0.73,144,0.7,0.3,3,0.025,20,0.88
Czech Republic,CZ,new MFH,Bio-oil boiler,2030,heating,0.8,0.24,0.63,111,0.7,0.3,2,0.025,20,0.88
Denmark,DK,new MFH,Bio-oil boiler,2030,heating,1,1,1,175,0.7,0.3,4,0.025,20,0.88
Estonia,EE,new MFH,Bio-oil boiler,2030,heating,0.82,0.3,0.72,116,0.7,0.3,3,0.025,20,0.88
Finland,FI,new MFH,Bio-oil boiler,2030,heating,0.94,0.87,0.92,160,0.7,0.3,3,0.025,20,0.88
France,FR,new MFH,Bio-oil boiler,2030,heating,0.93,0.8,0.84,156,0.7,0.3,3,0.025,20,0.88
Germany,DE,new MFH,Bio-oil boiler,2030,heating,0.89,0.69,0.82,145,0.7,0.3,3,0.025,20,0.88
Greece,EL,new MFH,Bio-oil boiler,2030,heating,0.81,0.29,0.74,114,0.7,0.3,3,0.025,20,0.88
Hungary,HU,new MFH,Bio-oil boiler,2030,heating,0.76,0.15,0.57,101,0.7,0.3,2,0.025,20,0.88
Ireland,IE,new MFH,Bio-oil boiler,2030,heating,0.87,0.69,0.83,143,0.7,0.3,3,0.025,20,0.88
Italy,IT,new MFH,Bio-oil boiler,2030,heating,0.94,0.6,0.87,147,0.7,0.3,3,0.025,20,0.88
Latvia,LV,new MFH,Bio-oil boiler,2030,heating,0.76,0.19,0.68,103,0.7,0.3,2,0.025,20,0.88
Lithuania,LT,new MFH,Bio-oil boiler,2030,heating,0.81,0.18,0.66,109,0.7,0.3,2,0.025,20,0.88
Luxembourg,LU,new MFH,Bio-oil boiler,2030,heating,0.98,0.64,0.92,154,0.7,0.3,3,0.025,20,0.88
Malta,MT,new MFH,Bio-oil boiler,2030,heating,1.16,0.24,0.85,155,0.7,0.3,3,0.025,20,0.88
Netherlands,NL,new MFH,Bio-oil boiler,2030,heating,0.87,0.86,0.88,151,0.7,0.3,3,0.025,20,0.88
Poland,PL,new MFH,Bio-oil boiler,2030,heating,0.66,0.19,0.52,91,0.7,0.3,2,0.025,20,0.88
Portugal,PT,new MFH,Bio-oil boiler,2030,heating,1,0.3,0.77,139,0.7,0.3,3,0.025,20,0.88
Romania,RO,new MFH,Bio-oil boiler,2030,heating,0.8,0.11,0.57,103,0.7,0.3,2,0.025,20,0.88
Slovakia,SK,new MFH,Bio-oil boiler,2030,heating,0.81,0.24,0.66,111,0.7,0.3,2,0.025,20,0.88
Slovenia,SI,new MFH,Bio-oil boiler,2030,heating,0.88,0.3,0.73,123,0.7,0.3,3,0.025,20,0.88
Spain,ES,new MFH,Bio-oil boiler,2030,heating,0.89,0.51,0.82,136,0.7,0.3,3,0.025,20,0.88
Sweden,SE,new MFH,Bio-oil boiler,2030,heating,1.01,1.02,0.98,177,0.7,0.3,3,0.025,20,0.88
United Kingdom,UK,new MFH,Bio-oil boiler,2030,heating,0.87,0.71,0.85,144,0.7,0.3,3,0.025,20,0.88
Austria,AT,new SFH,Bio-oil boiler,2050,heating,0.82,0.81,0.9,545,0.7,0.3,14,0,20,0.88
Belgium,BE,new SFH,Bio-oil boiler,2050,heating,0.92,0.88,0.88,607,0.7,0.3,14,0,20,0.88
Bulgaria,BG,new SFH,Bio-oil boiler,2050,heating,0.73,0.09,0.52,361,0.7,0.3,8,0,20,0.88
Croatia,HR,new SFH,Bio-oil boiler,2050,heating,0.83,0.23,0.66,435,0.7,0.3,11,0,20,0.88
Cyprus,CY,new SFH,Bio-oil boiler,2050,heating,1.02,0.36,0.73,547,0.7,0.3,12,0,20,0.88
Czech Republic,CZ,new SFH,Bio-oil boiler,2050,heating,0.8,0.24,0.63,423,0.7,0.3,10,0,20,0.88
Denmark,DK,new SFH,Bio-oil boiler,2050,heating,1,1,1,667,0.7,0.3,16,0,20,0.88
Estonia,EE,new SFH,Bio-oil boiler,2050,heating,0.82,0.3,0.72,443,0.7,0.3,12,0,20,0.88
Finland,FI,new SFH,Bio-oil boiler,2050,heating,0.94,0.87,0.92,611,0.7,0.3,15,0,20,0.88
France,FR,new SFH,Bio-oil boiler,2050,heating,0.93,0.8,0.84,592,0.7,0.3,13,0,20,0.88
Germany,DE,new SFH,Bio-oil boiler,2050,heating,0.89,0.69,0.82,553,0.7,0.3,13,0,20,0.88
Greece,EL,new SFH,Bio-oil boiler,2050,heating,0.81,0.29,0.74,435,0.7,0.3,12,0,20,0.88
Hungary,HU,new SFH,Bio-oil boiler,2050,heating,0.76,0.15,0.57,386,0.7,0.3,9,0,20,0.88
Ireland,IE,new SFH,Bio-oil boiler,2050,heating,0.87,0.69,0.83,543,0.7,0.3,13,0,20,0.88
Italy,IT,new SFH,Bio-oil boiler,2050,heating,0.94,0.6,0.87,561,0.7,0.3,14,0,20,0.88
Latvia,LV,new SFH,Bio-oil boiler,2050,heating,0.76,0.19,0.68,394,0.7,0.3,11,0,20,0.88
Lithuania,LT,new SFH,Bio-oil boiler,2050,heating,0.81,0.18,0.66,415,0.7,0.3,11,0,20,0.88
Luxembourg,LU,new SFH,Bio-oil boiler,2050,heating,0.98,0.64,0.92,588,0.7,0.3,15,0,20,0.88
Malta,MT,new SFH,Bio-oil boiler,2050,heating,1.16,0.24,0.85,589,0.7,0.3,14,0,20,0.88
Netherlands,NL,new SFH,Bio-oil boiler,2050,heating,0.87,0.86,0.88,576,0.7,0.3,14,0,20,0.88
Poland,PL,new SFH,Bio-oil boiler,2050,heating,0.66,0.19,0.52,347,0.7,0.3,8,0,20,0.88
Portugal,PT,new SFH,Bio-oil boiler,2050,heating,1,0.3,0.77,528,0.7,0.3,12,0,20,0.88
Romania,RO,new SFH,Bio-oil boiler,2050,heating,0.8,0.11,0.57,393,0.7,0.3,9,0,20,0.88
Slovakia,SK,new SFH,Bio-oil boiler,2050,heating,0.81,0.24,0.66,423,0.7,0.3,11,0,20,0.88
Slovenia,SI,new SFH,Bio-oil boiler,2050,heating,0.88,0.3,0.73,470,0.7,0.3,12,0,20,0.88
Spain,ES,new SFH,Bio-oil boiler,2050,heating,0.89,0.51,0.82,519,0.7,0.3,13,0,20,0.88
Sweden,SE,new SFH,Bio-oil boiler,2050,heating,1.01,1.02,0.98,673,0.7,0.3,16,0,20,0.88
United Kingdom,UK,new SFH,Bio-oil boiler,2050,heating,0.87,0.71,0.85,547,0.7,0.3,14,0,20,0.88
Austria,AT,new MFH,Bio-oil boiler,2050,heating,0.82,0.81,0.9,143,0.7,0.3,3,0.025,20,0.88
Belgium,BE,new MFH,Bio-oil boiler,2050,heating,0.92,0.88,0.88,159,0.7,0.3,3,0.025,20,0.88
Bulgaria,BG,new MFH,Bio-oil boiler,2050,heating,0.73,0.09,0.52,95,0.7,0.3,2,0.025,20,0.88
Croatia,HR,new MFH,Bio-oil boiler,2050,heating,0.83,0.23,0.66,114,0.7,0.3,2,0.025,20,0.88
Cyprus,CY,new MFH,Bio-oil boiler,2050,heating,1.02,0.36,0.73,144,0.7,0.3,3,0.025,20,0.88
Czech Republic,CZ,new MFH,Bio-oil boiler,2050,heating,0.8,0.24,0.63,111,0.7,0.3,2,0.025,20,0.88
Denmark,DK,new MFH,Bio-oil boiler,2050,heating,1,1,1,175,0.7,0.3,4,0.025,20,0.88
Estonia,EE,new MFH,Bio-oil boiler,2050,heating,0.82,0.3,0.72,116,0.7,0.3,3,0.025,20,0.88
Finland,FI,new MFH,Bio-oil boiler,2050,heating,0.94,0.87,0.92,160,0.7,0.3,3,0.025,20,0.88
France,FR,new MFH,Bio-oil boiler,2050,heating,0.93,0.8,0.84,156,0.7,0.3,3,0.025,20,0.88
Germany,DE,new MFH,Bio-oil boiler,2050,heating,0.89,0.69,0.82,145,0.7,0.3,3,0.025,20,0.88
Greece,EL,new MFH,Bio-oil boiler,2050,heating,0.81,0.29,0.74,114,0.7,0.3,3,0.025,20,0.88
Hungary,HU,new MFH,Bio-oil boiler,2050,heating,0.76,0.15,0.57,101,0.7,0.3,2,0.025,20,0.88
Ireland,IE,new MFH,Bio-oil boiler,2050,heating,0.87,0.69,0.83,143,0.7,0.3,3,0.025,20,0.88
Italy,IT,new MFH,Bio-oil boiler,2050,heating,0.94,0.6,0.87,147,0.7,0.3,3,0.025,20,0.88
Latvia,LV,new MFH,Bio-oil boiler,2050,heating,0.76,0.19,0.68,103,0.7,0.3,2,0.025,20,0.88
Lithuania,LT,new MFH,Bio-oil boiler,2050,heating,0.81,0.18,0.66,109,0.7,0.3,2,0.025,20,0.88
Luxembourg,LU,new MFH,Bio-oil boiler,2050,heating,0.98,0.64,0.92,154,0.7,0.3,3,0.025,20,0.88
Malta,MT,new MFH,Bio-oil boiler,2050,heating,1.16,0.24,0.85,155,0.7,0.3,3,0.025,20,0.88
Netherlands,NL,new MFH,Bio-oil boiler,2050,heating,0.87,0.86,0.88,151,0.7,0.3,3,0.025,20,0.88
