country,NUTS0_ID,type_of_building,heating_equipment,year,heating_or_cooling,price_index_households_appliances,labour_cost_index_construction_sector,equipment_and_maintenance_index,specific_investment_costs,equipment_cost_ share,installation_cost_share,fixed_O_and_M,variable_O_and_M,technical_lifetime,total_annual_net_efficiency
Hungary,HU,new SFH,Biomass_Automatic,2050,heating,0.76,0.15,0.57,448,0.8,0.2,28,0,20,0.88
Ireland,IE,new SFH,Biomass_Automatic,2050,heating,0.87,0.69,0.83,582,0.8,0.2,41,0,20,0.88
Italy,IT,new SFH,Biomass_Automatic,2050,heating,0.94,0.6,0.87,613,0.8,0.2,43,0,20,0.88
Latvia,LV,new SFH,Biomass_Automatic,2050,heating,0.76,0.19,0.68,454,0.8,0.2,34,0,20,0.88
Lithuania,LT,new SFH,Biomass_Automatic,2050,heating,0.81,0.18,0.66,479,0.8,0.2,33,0,20,0.88
Luxembourg,LU,new SFH,Biomass_Automatic,2050,heating,0.98,0.64,0.92,641,0.8,0.2,46,0,20,0.88
Malta,MT,new SFH,Biomass_Automatic,2050,heating,1.16,0.24,0.85,683,0.8,0.2,43,0,20,0.88
Netherlands,NL,new SFH,Biomass_Automatic,2050,heating,0.87,0.86,0.88,605,0.8,0.2,44,0,20,0.88
Poland,PL,new SFH,Biomass_Automatic,2050,heating,0.66,0.19,0.52,397,0.8,0.2,26,0,20,0.88
Portugal,PT,new SFH,Biomass_Automatic,2050,heating,1,0.3,0.77,603,0.8,0.2,39,0,20,0.88
Romania,RO,new SFH,Biomass_Automatic,2050,heating,0.8,0.11,0.57,461,0.8,0.2,28,0,20,0.88
Slovakia,SK,new SFH,Biomass_Automatic,2050,heating,0.81,0.24,0.66,484,0.8,0.2,33,0,20,0.88
Slovenia,SI,new SFH,Biomass_Automatic,2050,heating,0.88,0.3,0.73,534,0.8,0.2,37,0,20,0.88
Spain,ES,new SFH,Biomass_Automatic,2050,heating,0.89,0.51,0.82,571,0.8,0.2,41,0,20,0.88
Sweden,SE,new SFH,Biomass_Automatic,2050,heating,1.01,1.02,0.98,706,0.8,0.2,49,0,20,0.88
United Kingdom,UK,new SFH,Biomass_Automatic,2050,heating,0.87,0.71,0.85,585,0.8,0.2,42,0,20,0.88
Austria,AT,new MFH,Biomass_Automatic,2050,heating,0.82,0.81,0.9,274,0.8,0.2,6,0,20,0.88
Belgium,BE,new MFH,Biomass_Automatic,2050,heating,0.92,0.88,0.88,306,0.8,0.2,6,0,20,0.88
Bulgaria,BG,new MFH,Biomass_Automatic,2050,heating,0.73,0.09,0.52,203,0.8,0.2,4,0,20,0.88
Croatia,HR,new MFH,Biomass_Automatic,2050,heating,0.83,0.23,0.66,239,0.8,0.2,5,0,20,0.88
Cyprus,CY,new MFH,Biomass_Automatic,2050,heating,1.02,0.36,0.73,297,0.8,0.2,5,0,20,0.88
Czech Republic,CZ,new MFH,Biomass_Automatic,2050,heating,0.8,0.24,0.63,232,0.8,0.2,4,0,20,0.88
Denmark,DK,new MFH,Biomass_Automatic,2050,heating,1,1,1,335,0.8,0.2,7,0,20,0.88
Estonia,EE,new MFH,Biomass_Automatic,2050,heating,0.82,0.3,0.72,240,0.8,0.2,5,0,20,0.88
Finland,FI,new MFH,Biomass_Automatic,2050,heating,0.94,0.87,0.92,309,0.8,0.2,6,0,20,0.88
France,FR,new MFH,Biomass_Automatic,2050,heating,0.93,0.8,0.84,302,0.8,0.2,6,0,20,0.88
Germany,DE,new MFH,Biomass_Automatic,2050,heating,0.89,0.69,0.82,284,0.8,0.2,6,0,20,0.88
Greece,EL,new MFH,Biomass_Automatic,2050,heating,0.81,0.29,0.74,236,0.8,0.2,5,0,20,0.88
Hungary,HU,new MFH,Biomass_Automatic,2050,heating,0.76,0.15,0.57,214,0.8,0.2,4,0,20,0.88
Ireland,IE,new MFH,Biomass_Automatic,2050,heating,0.87,0.69,0.83,279,0.8,0.2,6,0,20,0.88
Italy,IT,new MFH,Biomass_Automatic,2050,heating,0.94,0.6,0.87,293,0.8,0.2,6,0,20,0.88
Latvia,LV,new MFH,Biomass_Automatic,2050,heating,0.76,0.19,0.68,217,0.8,0.2,5,0,20,0.88
Lithuania,LT,new MFH,Biomass_Automatic,2050,heating,0.81,0.18,0.66,229,0.8,0.2,5,0,20,0.88
Luxembourg,LU,new MFH,Biomass_Automatic,2050,heating,0.98,0.64,0.92,307,0.8,0.2,6,0,20,0.88
Malta,MT,new MFH,Biomass_Automatic,2050,heating,1.16,0.24,0.85,327,0.8,0.2,6,0,20,0.88
Netherlands,NL,new MFH,Biomass_Automatic,2050,heating,0.87,0.86,0.88,290,0.8,0.2,6,0,20,0.88
Poland,PL,new MFH,Biomass_Automatic,2050,heating,0.66,0.19,0.52,190,0.8,0.2,4,0,20,0.88
Portugal,PT,new MFH,Biomass_Automatic,2050,heating,1,0.3,0.77,289,0.8,0.2,5,0,20,0.88
Romania,RO,new MFH,Biomass_Automatic,2050,heating,0.8,0.11,0.57,221,0.8,0.2,4,0,20,0.88
Slovakia,SK,new MFH,Biomass_Automatic,2050,heating,0.81,0.24,0.66,232,0.8,0.2,5,0,20,0.88
Slovenia,SI,new MFH,Biomass_Automatic,2050,heating,0.88,0.3,0.73,255,0.8,0.2,5,0,20,0.88
Spain,ES,new MFH,Biomass_Automatic,2050,heating,0.89,0.51,0.82,273,0.8,0.2,6,0,20,0.88
Sweden,SE,new MFH,Biomass_Automatic,2050,heating,1.01,1.02,0.98,338,0.8,0.2,7,0,20,0.88
United Kingdom,UK,new MFH,Biomass_Automatic,2050,heating,0.87,0.71,0.85,280,0.8,0.2,6,0,20,0.88
Austria,AT,new SFH,Biomass_Manual,2015,heating,0.82,0.81,0.9,188,0.8,0.2,2,0,20,0.8
Belgium,BE,new SFH,Biomass_Manual,2015,heating,0.92,0.88,0.88,210,0.8,0.2,2,0,20,0.8
Bulgaria,BG,new SFH,Biomass_Manual,2015,heating,0.73,0.09,0.52,139,0.8,0.2,1,0,20,0.8
Croatia,HR,new SFH,Biomass_Manual,2015,heating,0.83,0.23,0.66,164,0.8,0.2,1,0,20,0.8
Cyprus,CY,new SFH,Biomass_Manual,2015,heating,1.02,0.36,0.73,204,0.8,0.2,1,0,20,0.8
Czech Republic,CZ,new SFH,Biomass_Manual,2015,heating,0.8,0.24,0.63,159,0.8,0.2,1,0,20,0.8
Denmark,DK,new SFH,Biomass_Manual,2015,heating,1,1,1,230,0.8,0.2,2,0,20,0.8
Estonia,EE,new SFH,Biomass_Manual,2015,heating,0.82,0.3,0.72,165,0.8,0.2,1,0,20,0.8
Finland,FI,new SFH,Biomass_Manual,2015,heating,0.94,0.87,0.92,212,0.8,0.2,2,0,20,0.8
France,FR,new SFH,Biomass_Manual,2015,heating,0.93,0.8,0.84,207,0.8,0.2,2,0,20,0.8
Germany,DE,new SFH,Biomass_Manual,2015,heating,0.89,0.69,0.82,195,0.8,0.2,2,0,20,0.8
Greece,EL,new SFH,Biomass_Manual,2015,heating,0.81,0.29,0.74,162,0.8,0.2,1,0,20,0.8
Hungary,HU,new SFH,Biomass_Manual,2015,heating,0.76,0.15,0.57,147,0.8,0.2,1,0,20,0.8
Ireland,IE,new SFH,Biomass_Manual,2015,heating,0.87,0.69,0.83,191,0.8,0.2,2,0,20,0.8
Italy,IT,new SFH,Biomass_Manual,2015,heating,0.94,0.6,0.87,201,0.8,0.2,2,0,20,0.8
Latvia,LV,new SFH,Biomass_Manual,2015,heating,0.76,0.19,0.68,149,0.8,0.2,1,0,20,0.8
Lithuania,LT,new SFH,Biomass_Manual,2015,heating,0.81,0.18,0.66,157,0.8,0.2,1,0,20,0.8
Luxembourg,LU,new SFH,Biomass_Manual,2015,heating,0.98,0.64,0.92,211,0.8,0.2,2,0,20,0.8
Malta,MT,new SFH,Biomass_Manual,2015,heating,1.16,0.24,0.85,225,0.8,0.2,2,0,20,0.8
Netherlands,NL,new SFH,Biomass_Manual,2015,heating,0.87,0.86,0.88,199,0.8,0.2,2,0,20,0.8
Poland,PL,new SFH,Biomass_Manual,2015,heating,0.66,0.19,0.52,130,0.8,0.2,1,0,20,0.8
Portugal,PT,new SFH,Biomass_Manual,2015,heating,1,0.3,0.77,198,0.8,0.2,2,0,20,0.8
Romania,RO,new SFH,Biomass_Manual,2015,heating,0.8,0.11,0.57,151,0.8,0.2,1,0,20,0.8
Slovakia,SK,new SFH,Biomass_Manual,2015,heating,0.81,0.24,0.66,159,0.8,0.2,1,0,20,0.8
Slovenia,SI,new SFH,Biomass_Manual,2015,heating,0.88,0.3,0.73,175,0.8,0.2,1,0,20,0.8
Spain,ES,new SFH,Biomass_Manual,2015,heating,0.89,0.51,0.82,188,0.8,0.2,2,0,20,0.8
Sweden,SE,new SFH,Biomass_Manual,2015,heating,1.01,1.02,0.98,232,0.8,0.2,2,0,20,0.8
United Kingdom,UK,new SFH,Biomass_Manual,2015,heating,0.87,0.71,0.85,192,0.8,0.2,2,0,20,0.8
Austria,AT,new SFH,Biomass_Manual,2020,heating,0.82,0.81,0.9,188,0.8,0.2,2,0,20,0.82
Belgium,BE,new SFH,Biomass_Manual,2020,heating,0.92,0.88,0.88,210,0.8,0.2,2,0,20,0.82
Bulgaria,BG,new SFH,Biomass_Manual,2020,heating,0.73,0.09,0.52,139,0.8,0.2,1,0,20,0.82
Croatia,HR,new SFH,Biomass_Manual,2020,heating,0.83,0.23,0.66,164,0.8,0.2,1,0,20,0.82
Cyprus,CY,new SFH,Biomass_Manual,2020,heating,1.02,0.36,0.73,204,0.8,0.2,1,0,20,0.82
Czech Republic,CZ,new SFH,Biomass_Manual,2020,heating,0.8,0.24,0.63,159,0.8,0.2,1,0,20,0.82
Denmark,DK,new SFH,Biomass_Manual,2020,heating,1,1,1,230,0.8,0.2,2,0,20,0.82
Estonia,EE,new SFH,Biomass_Manual,2020,heating,0.82,0.3,0.72,165,0.8,0.2,1,0,20,0.82
Finland,FI,new SFH,Biomass_Manual,2020,heating,0.94,0.87,0.92,212,0.8,0.2,2,0,20,0.82
France,FR,new SFH,Biomass_Manual,2020,heating,0.93,0.8,0.84,207,0.8,0.2,2,0,20,0.82
Germany,DE,new SFH,Biomass_Manual,2020,heating,0.89,0.69,0.82,195,0.8,0.2,2,0,20,0.82
Greece,EL,new SFH,Biomass_Manual,2020,heating,0.81,0.29,0.74,162,0.8,0.2,1,0,20,0.82
Hungary,HU,new SFH,Biomass_Manual,2020,heating,0.76,0.15,0.57,147,0.8,0.2,1,0,20,0.82
Ireland,IE,new SFH,Biomass_Manual,2020,heating,0.87,0.69,0.83,191,0.8,0.2,2,0,20,0.82
Italy,IT,new SFH,Biomass_Manual,2020,heating,0.94,0.6,0.87,201,0.8,0.2,2,0,20,0.82
Latvia,LV,new SFH,Biomass_Manual,2020,heating,0.76,0.19,0.68,149,0.8,0.2,1,0,20,0.82
Lithuania,LT,new SFH,Biomass_Manual,2020,heating,0.81,0.18,0.66,157,0.8,0.2,1,0,20,0.82
Luxembourg,LU,new SFH,Biomass_Manual,2020,heating,0.98,0.64,0.92,211,0.8,0.2,2,0,20,0.82
Malta,MT,new SFH,Biomass_Manual,2020,heating,1.16,0.24,0.85,225,0.8,0.2,2,0,20,0.82
Netherlands,NL,new SFH,Biomass_Manual,2020,heating,0.87,0.86,0.88,199,0.8,0.2,2,0,20,0.82
Poland,PL,new SFH,Biomass_Manual,2020,heating,0.66,0.19,0.52,130,0.8,0.2,1,0,20,0.82
Portugal,PT,new SFH,Biomass_Manual,2020,heating,1,0.3,0.77,198,0.8,0.2,2,0,20,0.82
Romania,RO,new SFH,Biomass_Manual,2020,heating,0.8,0.11,0.57,151,0.8,0.2,1,0,20,0.82
Slovakia,SK,new SFH,Biomass_Manual,2020,heating,0.81,0.24,0.66,159,0.8,0.2,1,0,20,0.82
Slovenia,SI,new SFH,Biomass_Manual,2020,heating,0.88,0.3,0.73,175,0.8,0.2,1,0,20,0.82
Spain,ES,new SFH,Biomass_Manual,2020,heating,0.89,0.51,0.82,188,0.8,0.2,2,0,20,0.82
Sweden,SE,new SFH,Biomass_Manual,2020,heating,1.01,1.02,0.98,232,0.8,0.2,2,0,20,0.82
United Kingdom,UK,new SFH,Biomass_Manual,2020,heating,0.87,0.71,0.85,192,0.8,0.2,2,0,20,0.82
Austria,AT,new SFH,Biomass_Manual,2030,heating,0.82,0.81,0.9,188,0.8,0.2,2,0,20,0.86
Belgium,BE,new SFH,Biomass_Manual,2030,heating,0.92,0.88,0.88,210,0.8,0.2,2,0,20,0.86
Bulgaria,BG,new SFH,Biomass_Manual,2030,heating,0.73,0.09,0.52,139,0.8,0.2,1,0,20,0.86
Croatia,HR,new SFH,Biomass_Manual,2030,heating,0.83,0.23,0.66,164,0.8,0.2,1,0,20,0.86
Cyprus,CY,new SFH,Biomass_Manual,2030,heating,1.02,0.36,0.73,204,0.8,0.2,1,0,20,0.86
Czech Republic,CZ,new SFH,Biomass_Manual,2030,heating,0.8,0.24,0.63,159,0.8,0.2,1,0,20,0.86
Denmark,DK,new SFH,Biomass_Manual,2030,heating,1,1,1,230,0.8,0.2,2,0,20,0.86
Estonia,EE,new SFH,Biomass_Manual,2030,heating,0.82,0.3,0.72,165,0.8,0.2,1,0,20,0.86
Finland,FI,new SFH,Biomass_Manual,2030,heating,0.94,0.87,0.92,212,0.8,0.2,2,0,20,0.86
France,FR,new SFH,Biomass_Manual,2030,heating,0.93,0.8,0.84,207,0.8,0.2,2,0,20,0.86
Germany,DE,new SFH,Biomass_Manual,2030,heating,0.89,0.69,0.82,195,0.8,0.2,2,0,20,0.86
Greece,EL,new SFH,Biomass_Manual,2030,heating,0.81,0.29,0.74,162,0.8,0.2,1,0,20,0.86
Hungary,HU,new SFH,Biomass_Manual,2030,heating,0.76,0.15,0.57,147,0.8,0.2,1,0,20,0.86
Ireland,IE,new SFH,Biomass_Manual,2030,heating,0.87,0.69,0.83,191,0.8,0.2,2,0,20,0.86
Italy,IT,new SFH,Biomass_Manual,2030,heating,0.94,0.6,0.87,201,0.8,0.2,2,0,20,0.86
Latvia,LV,new SFH,Biomass_Manual,2030,heating,0.76,0.19,0.68,149,0.8,0.2,1,0,20,0.86
Lithuania,LT,new SFH,Biomass_Manual,2030,heating,0.81,0.18,0.66,157,0.8,0.2,1,0,20,0.86
Luxembourg,LU,new SFH,Biomass_Manual,2030,heating,0.98,0.64,0.92,211,0.8,0.2,2,0,20,0.86
Malta,MT,new SFH,Biomass_Manual,2030,heating,1.16,0.24,0.85,225,0.8,0.2,2,0,20,0.86
Netherlands,NL,new SFH,Biomass_Manual,2030,heating,0.87,0.86,0.88,199,0.8,0.2,2,0,20,0.86
Poland,PL,new SFH,Biomass_Manual,2030,heating,0.66,0.19,0.52,130,0.8,0.2,1,0,20,0.86
Portugal,PT,new SFH,Biomass_Manual,2030,heating,1,0.3,0.77,198,0.8,0.2,2,0,20,0.86
Romania,RO,new SFH,Biomass_Manual,2030,heating,0.8,0.11,0.57,151,0.8,0.2,1,0,20,0.86
Slovakia,SK,new SFH,Biomass_Manual,2030,heating,0.81,0.24,0.66,159,0.8,0.2,1,0,20,0.86
Slovenia,SI,new SFH,Biomass_Manual,2030,heating,0.88,0.3,0.73,175,0.8,0.2,1,0,20,0.86
Spain,ES,new SFH,Biomass_Manual,2030,heating,0.89,0.51,0.82,188,0.8,0.2,2,0,20,0.86
Sweden,SE,new SFH,Biomass_Manual,2030,heating,1.01,1.02,0.98,232,0.8,0.2,2,0,20,0.86
United Kingdom,UK,new SFH,Biomass_Manual,2030,heating,0.87,0.71,0.85,192,0.8,0.2,2,0,20,0.86
Austria,AT,new SFH,Biomass_Manual,2050,heating,0.82,0.81,0.9,188,0.8,0.2,2,0,20,0.88
Belgium,BE,new SFH,Biomass_Manual,2050,heating,0.92,0.88,0.88,210,0.8,0.2,2,0,20,0.88
Bulgaria,BG,new SFH,Biomass_Manual,2050,heating,0.73,0.09,0.52,139,0.8,0.2,1,0,20,0.88
Croatia,HR,new SFH,Biomass_Manual,2050,heating,0.83,0.23,0.66,164,0.8,0.2,1,0,20,0.88
Cyprus,CY,new SFH,Biomass_Manual,2050,heating,1.02,0.36,0.73,204,0.8,0.2,1,0,20,0.88
Czech Republic,CZ,new SFH,Biomass_Manual,2050,heating,0.8,0.24,0.63,159,0.8,0.2,1,0,20,0.88
Denmark,DK,new SFH,Biomass_Manual,2050,heating,1,1,1,230,0.8,0.2,2,0,20,0.88
Estonia,EE,new SFH,Biomass_Manual,2050,heating,0.82,0.3,0.72,165,0.8,0.2,1,0,20,0.88
Finland,FI,new SFH,Biomass_Manual,2050,heating,0.94,0.87,0.92,212,0.8,0.2,2,0,20,0.88
France,FR,new SFH,Biomass_Manual,2050,heating,0.93,0.8,0.84,207,0.8,0.2,2,0,20,0.88
Germany,DE,new SFH,Biomass_Manual,2050,heating,0.89,0.69,0.82,195,0.8,0.2,2,0,20,0.88
Greece,EL,new SFH,Biomass_Manual,2050,heating,0.81,0.29,0.74,162,0.8,0.2,1,0,20,0.88
Hungary,HU,new SFH,Biomass_Manual,2050,heating,0.76,0.15,0.57,147,0.8,0.2,1,0,20,0.88
Ireland,IE,new SFH,Biomass_Manual,2050,heating,0.87,0.69,0.83,191,0.8,0.2,2,0,20,0.88
Italy,IT,new SFH,Biomass_Manual,2050,heating,0.94,0.6,0.87,201,0.8,0.2,2,0,20,0.88
Latvia,LV,new SFH,Biomass_Manual,2050,heating,0.76,0.19,0.68,149,0.8,0.2,1,0,20,0.88
Lithuania,LT,new SFH,Biomass_Manual,2050,heating,0.81,0.18,0.66,157,0.8,0.2,1,0,20,0.88
Luxembourg,LU,new SFH,Biomass_Manual,2050,heating,0.98,0.64,0.92,211,0.8,0.2,2,0,20,0.88
Malta,MT,new SFH,Biomass_Manual,2050,heating,1.16,0.24,0.85,225,0.8,0.2,2,0,20,0.88
Netherlands,NL,new SFH,Biomass_Manual,2050,heating,0.87,0.86,0.88,199,0.8,0.2,2,0,20,0.88
Poland,PL,new SFH,Biomass_Manual,2050,heating,0.66,0.19,0.52,130,0.8,0.2,1,0,20,0.88
Portugal,PT,new SFH,Biomass_Manual,2050,heating,1,0.3,0.77,198,0.8,0.2,2,0,20,0.88
Romania,RO,new SFH,Biomass_Manual,2050,heating,0.8,0.11,0.57,151,0.8,0.2,1,0,20,0.88
Slovakia,SK,new SFH,Biomass_Manual,2050,heating,0.81,0.24,0.66,159,0.8,0.2,1,0,20,0.88
Slovenia,SI,new SFH,Biomass_Manual,2050,heating,0.88,0.3,0.73,175,0.8,0.2,1,0,20,0.88
Spain,ES,new SFH,Biomass_Manual,2050,heating,0.89,0.51,0.82,188,0.8,0.2,2,0,20,0.88
Sweden,SE,new SFH,Biomass_Manual,2050,heating,1.01,1.02,0.98,232,0.8,0.2,2,0,20,0.88
United Kingdom,UK,new SFH,Biomass_Manual,2050,heating,0.87,0.71,0.85,192,0.8,0.2,2,0,20,0.88
Austria,AT,new SFH,Wood stove,2015,heating,0.82,0.81,0.9,341,1,0,22.4,0,20,0.65
Belgium,BE,new SFH,Wood stove,2015,heating,0.92,0.88,0.88,383,1,0,22.1,0,20,0.65
Bulgaria,BG,new SFH,Wood stove,2015,heating,0.73,0.09,0.52,304,1,0,12.9,0,20,0.65
Croatia,HR,new SFH,Wood stove,2015,heating,0.83,0.23,0.66,346,1,0,16.6,0,20,0.65
Cyprus,CY,new SFH,Wood stove,2015,heating,1.02,0.36,0.73,423,1,0,18.4,0,20,0.65
Czech Republic,CZ,new SFH,Wood stove,2015,heating,0.8,0.24,0.63,334,1,0,15.7,0,20,0.65
Denmark,DK,new SFH,Wood stove,2015,heating,1,1,1,415,1,0,25,0,20,0.65
Estonia,EE,new SFH,Wood stove,2015,heating,0.82,0.3,0.72,341,1,0,18.1,0,20,0.65
Finland,FI,new SFH,Wood stove,2015,heating,0.94,0.87,0.92,388,1,0,22.9,0,20,0.65
France,FR,new SFH,Wood stove,2015,heating,0.93,0.8,0.84,384,1,0,20.9,0,20,0.65
Germany,DE,new SFH,Wood stove,2015,heating,0.89,0.69,0.82,368,1,0,20.6,0,20,0.65
Greece,EL,new SFH,Wood stove,2015,heating,0.81,0.29,0.74,336,1,0,18.6,0,20,0.65
Hungary,HU,new SFH,Wood stove,2015,heating,0.76,0.15,0.57,316,1,0,14.2,0,20,0.65
Ireland,IE,new SFH,Wood stove,2015,heating,0.87,0.69,0.83,360,1,0,20.7,0,20,0.65
Italy,IT,new SFH,Wood stove,2015,heating,0.94,0.6,0.87,392,1,0,21.6,0,20,0.65
Latvia,LV,new SFH,Wood stove,2015,heating,0.76,0.19,0.68,317,1,0,17,0,20,0.65
Lithuania,LT,new SFH,Wood stove,2015,heating,0.81,0.18,0.66,336,1,0,16.5,0,20,0.65
Luxembourg,LU,new SFH,Wood stove,2015,heating,0.98,0.64,0.92,408,1,0,23.1,0,20,0.65
Malta,MT,new SFH,Wood stove,2015,heating,1.16,0.24,0.85,482,1,0,21.3,0,20,0.65
Netherlands,NL,new SFH,Wood stove,2015,heating,0.87,0.86,0.88,359,1,0,22.1,0,20,0.65
Poland,PL,new SFH,Wood stove,2015,heating,0.66,0.19,0.52,274,1,0,13,0,20,0.65
Portugal,PT,new SFH,Wood stove,2015,heating,1,0.3,0.77,415,1,0,19.3,0,20,0.65
Romania,RO,new SFH,Wood stove,2015,heating,0.8,0.11,0.57,330,1,0,14.2,0,20,0.65
Slovakia,SK,new SFH,Wood stove,2015,heating,0.81,0.24,0.66,334,1,0,16.6,0,20,0.65
Slovenia,SI,new SFH,Wood stove,2015,heating,0.88,0.3,0.73,365,1,0,18.4,0,20,0.65
Spain,ES,new SFH,Wood stove,2015,heating,0.89,0.51,0.82,370,1,0,20.4,0,20,0.65
Sweden,SE,new SFH,Wood stove,2015,heating,1.01,1.02,0.98,417,1,0,24.5,0,20,0.65
United Kingdom,UK,new SFH,Wood stove,2015,heating,0.87,0.71,0.85,359,1,0,21.2,0,20,0.65
Austria,AT,new SFH,Wood stove,2020,heating,0.82,0.81,0.9,341,1,0,22.4,0,20,0.7
Belgium,BE,new SFH,Wood stove,2020,heating,0.92,0.88,0.88,383,1,0,22.1,0,20,0.7
Bulgaria,BG,new SFH,Wood stove,2020,heating,0.73,0.09,0.52,304,1,0,12.9,0,20,0.7
Croatia,HR,new SFH,Wood stove,2020,heating,0.83,0.23,0.66,346,1,0,16.6,0,20,0.7
Cyprus,CY,new SFH,Wood stove,2020,heating,1.02,0.36,0.73,423,1,0,18.4,0,20,0.7
Czech Republic,CZ,new SFH,Wood stove,2020,heating,0.8,0.24,0.63,334,1,0,15.7,0,20,0.7
Denmark,DK,new SFH,Wood stove,2020,heating,1,1,1,415,1,0,25,0,20,0.7
Estonia,EE,new SFH,Wood stove,2020,heating,0.82,0.3,0.72,341,1,0,18.1,0,20,0.7
Finland,FI,new SFH,Wood stove,2020,heating,0.94,0.87,0.92,388,1,0,22.9,0,20,0.7
France,FR,new SFH,Wood stove,2020,heating,0.93,0.8,0.84,384,1,0,20.9,0,20,0.7
Germany,DE,new SFH,Wood stove,2020,heating,0.89,0.69,0.82,368,1,0,20.6,0,20,0.7
Greece,EL,new SFH,Wood stove,2020,heating,0.81,0.29,0.74,336,1,0,18.6,0,20,0.7
Hungary,HU,new SFH,Wood stove,2020,heating,0.76,0.15,0.57,316,1,0,14.2,0,20,0.7
Ireland,IE,new SFH,Wood stove,2020,heating,0.87,0.69,0.83,360,1,0,20.7,0,20,0.7
Italy,IT,new SFH,Wood stove,2020,heating,0.94,0.6,0.87,392,1,0,21.6,0,20,0.7
Latvia,LV,new SFH,Wood stove,2020,heating,0.76,0.19,0.68,317,1,0,17,0,20,0.7
Lithuania,LT,new SFH,Wood stove,2020,heating,0.81,0.18,0.66,336,1,0,16.5,0,20,0.7
Luxembourg,LU,new SFH,Wood stove,2020,heating,0.98,0.64,0.92,408,1,0,23.1,0,20,0.7
Malta,MT,new SFH,Wood stove,2020,heating,1.16,0.24,0.85,482,1,0,21.3,0,20,0.7
Netherlands,NL,new SFH,Wood stove,2020,heating,0.87,0.86,0.88,359,1,0,22.1,0,20,0.7
Poland,PL,new SFH,Wood stove,2020,heating,0.66,0.19,0.52,274,1,0,13,0,20,0.7
Portugal,PT,new SFH,Wood stove,2020,heating,1,0.3,0.77,415,1,0,19.3,0,20,0.7
Romania,RO,new SFH,Wood stove,2020,heating,0.8,0.11,0.57,330,1,0,14.2,0,20,0.7
Slovakia,SK,new SFH,Wood stove,2020,heating,0.81,0.24,0.66,334,1,0,16.6,0,20,0.7
Slovenia,SI,new SFH,Wood stove,2020,heating,0.88,0.3,0.73,365,1,0,18.4,0,20,0.7
Spain,ES,new SFH,Wood stove,2020,heating,0.89,0.51,0.82,370,1,0,20.4,0,20,0.7
Sweden,SE,new SFH,Wood stove,2020,heating,1.01,1.02,0.98,417,1,0,24.5,0,20,0.7
United Kingdom,UK,new SFH,Wood stove,2020,heating,0.87,0.71,0.85,359,1,0,21.2,0,20,0.7
Austria,AT,new SFH,Wood stove,2030,heating,0.82,0.81,0.9,341,1,0,22.4,0,20,0.75
Belgium,BE,new SFH,Wood stove,2030,heating,0.92,0.88,0.88,383,1,0,22.1,0,20,0.75
Bulgaria,BG,new SFH,Wood stove,2030,heating,0.73,0.09,0.52,304,1,0,12.9,0,20,0.75
Croatia,HR,new SFH,Wood stove,2030,heating,0.83,0.23,0.66,346,1,0,16.6,0,20,0.75
Cyprus,CY,new SFH,Wood stove,2030,heating,1.02,0.36,0.73,423,1,0,18.4,0,20,0.75
Czech Republic,CZ,new SFH,Wood stove,2030,heating,0.8,0.24,0.63,334,1,0,15.7,0,20,0.75
Denmark,DK,new SFH,Wood stove,2030,heating,1,1,1,415,1,0,25,0,20,0.75
Estonia,EE,new SFH,Wood stove,2030,heating,0.82,0.3,0.72,341,1,0,18.1,0,20,0.75
Finland,FI,new SFH,Wood stove,2030,heating,0.94,0.87,0.92,388,1,0,22.9,0,20,0.75
France,FR,new SFH,Wood stove,2030,heating,0.93,0.8,0.84,384,1,0,20.9,0,20,0.75
Germany,DE,new SFH,Wood stove,2030,heating,0.89,0.69,0.82,368,1,0,20.6,0,20,0.75
Greece,EL,new SFH,Wood stove,2030,heating,0.81,0.29,0.74,336,1,0,18.6,0,20,0.75
Hungary,HU,new SFH,Wood stove,2030,heating,0.76,0.15,0.57,316,1,0,14.2,0,20,0.75
Ireland,IE,new SFH,Wood stove,2030,heating,0.87,0.69,0.83,360,1,0,20.7,0,20,0.75
Italy,IT,new SFH,Wood stove,2030,heating,0.94,0.6,0.87,392,1,0,21.6,0,20,0.75
Latvia,LV,new SFH,Wood stove,2030,heating,0.76,0.19,0.68,317,1,0,17,0,20,0.75
Lithuania,LT,new SFH,Wood stove,2030,heating,0.81,0.18,0.66,336,1,0,16.5,0,20,0.75
Luxembourg,LU,new SFH,Wood stove,2030,heating,0.98,0.64,0.92,408,1,0,23.1,0,20,0.75
Malta,MT,new SFH,Wood stove,2030,heating,1.16,0.24,0.85,482,1,0,21.3,0,20,0.75
Netherlands,NL,new SFH,Wood stove,2030,heating,0.87,0.86,0.88,359,1,0,22.1,0,20,0.75
Poland,PL,new SFH,Wood stove,2030,heating,0.66,0.19,0.52,274,1,0,13,0,20,0.75
Portugal,PT,new SFH,Wood stove,2030,heating,1,0.3,0.77,415,1,0,19.3,0,20,0.75
Romania,RO,new SFH,Wood stove,2030,heating,0.8,0.11,0.57,330,1,0,14.2,0,20,0.75
Slovakia,SK,new SFH,Wood stove,2030,heating,0.81,0.24,0.66,334,1,0,16.6,0,20,0.75
Slovenia,SI,new SFH,Wood stove,2030,heating,0.88,0.3,0.73,365,1,0,18.4,0,20,0.75
Spain,ES,new SFH,Wood stove,2030,heating,0.89,0.51,0.82,370,1,0,20.4,0,20,0.75
