nuts2_id,heating_or_cooling,sector,120%load_factor
DK03,cooling,service,0.000346926
DK04,cooling,service,0.000336981
DK05,cooling,service,0.000341172
EE00,cooling,service,0.000354591
EL42,cooling,service,0.000575254
EL51,cooling,service,0.000560575
EL52,cooling,service,0.000488306
EL53,cooling,service,0.000428334
EL54,cooling,service,0.000475578
EL61,cooling,service,0.000514077
EL63,cooling,service,0.000453972
EL64,cooling,service,0.000421522
ES11,cooling,service,0.000416664
ES12,cooling,service,0.000404159
ES13,cooling,service,0.000385566
ES21,cooling,service,0.000383221
ES22,cooling,service,0.000394596
ES23,cooling,service,0.000408387
ES24,cooling,service,0.000389079
ES30,cooling,service,0.00042001
ES41,cooling,service,0.000380905
ES42,cooling,service,0.000451494
ES43,cooling,service,0.00046941
ES51,cooling,service,0.000397796
ES52,cooling,service,0.000466678
ES53,cooling,service,0.00046056
ES61,cooling,service,0.000498933
ES62,cooling,service,0.000492977
ES70,cooling,service,0.000515966
FI19,cooling,service,0.000318492
FI1B,cooling,service,0.000340169
FI1C,cooling,service,0.00033054
FI1D,cooling,service,0.000294528
FI20,cooling,service,0.000365281
FR10,cooling,service,0.0004092
FR21,cooling,service,0.000372212
FR22,cooling,service,0.00037856
FR23,cooling,service,0.000378294
FR24,cooling,service,0.000408824
FR25,cooling,service,0.000353297
FR26,cooling,service,0.000370389
FR30,cooling,service,0.00036955
FR41,cooling,service,0.000372185
FR42,cooling,service,0.000414824
FR43,cooling,service,0.000370206
FR51,cooling,service,0.000393028
FR52,cooling,service,0.00034132
FR53,cooling,service,0.000396215
FR61,cooling,service,0.000428717
FR62,cooling,service,0.000428001
FR63,cooling,service,0.000382693
FR71,cooling,service,0.000370755
FR72,cooling,service,0.000380655
FR81,cooling,service,0.00043338
FR82,cooling,service,0.000395512
FR83,cooling,service,0.000428908
HR03,cooling,service,0.000409172
HR04,cooling,service,0.000411889
HU10,cooling,service,0.00042811
HU21,cooling,service,0.000406384
HU22,cooling,service,0.000421081
HU23,cooling,service,0.000415561
HU31,cooling,service,0.000431152
HU32,cooling,service,0.000429292
HU33,cooling,service,0.000441678
IE01,cooling,service,0.000360097
IE02,cooling,service,0.00035841
ITC1,cooling,service,0.000389168
ITC2,cooling,service,0.000306941
ITC3,cooling,service,0.000389395
ITC4,cooling,service,0.000394569
ITF1,cooling,service,0.000424547
ITF2,cooling,service,0.000456011
ITF3,cooling,service,0.000498432
ITF4,cooling,service,0.000516501
ITF5,cooling,service,0.000449159
ITF6,cooling,service,0.000461101
ITG2,cooling,service,0.000490833
ITH1,cooling,service,0.000319389
ITH2,cooling,service,0.000342712
ITH3,cooling,service,0.000419883
ITH4,cooling,service,0.000396481
ITH5,cooling,service,0.000425271
ITI1,cooling,service,0.000400854
ITI2,cooling,service,0.000410969
ITI3,cooling,service,0.000447234
ITI4,cooling,service,0.000470776
LT00,cooling,service,0.000395955
LU00,cooling,service,0.000358125
LV00,cooling,service,0.000380442
NL11,cooling,service,0.000347587
NL12,cooling,service,0.000371962
NL13,cooling,service,0.000347053
NL21,cooling,service,0.000370429
NL22,cooling,service,0.000348319
NL23,cooling,service,0.000367188
NL31,cooling,service,0.000357042
NL32,cooling,service,0.000373687
NL33,cooling,service,0.000364825
NL34,cooling,service,0.000362173
NL41,cooling,service,0.000377205
NL42,cooling,service,0.000376505
PL11,cooling,service,0.000443817
PL12,cooling,service,0.000443227
PL21,cooling,service,0.000445959
PL22,cooling,service,0.000448591
PL31,cooling,service,0.000449544
PL32,cooling,service,0.000436498
PL33,cooling,service,0.000448865
PL34,cooling,service,0.000419532
PL41,cooling,service,0.000449453
PL42,cooling,service,0.000403635
PL43,cooling,service,0.00042367
PL51,cooling,service,0.000424976
PL52,cooling,service,0.000460216
PL61,cooling,service,0.000424889
PL62,cooling,service,0.00041829
PL63,cooling,service,0.000378017
PT11,cooling,service,0.000451356
PT15,cooling,service,0.000508334
PT16,cooling,service,0.000482951
PT17,cooling,service,0.000504027
PT18,cooling,service,0.00051381
SE11,cooling,service,0.000373169
SE12,cooling,service,0.00035743
SE21,cooling,service,0.000377211
SE22,cooling,service,0.000369574
SE23,cooling,service,0.000381286
SE31,cooling,service,0.000323882
SE32,cooling,service,0.000293884
SE33,cooling,service,0.000282074
SI03,cooling,service,0.000393567
SI04,cooling,service,0.000366998
SK01,cooling,service,0.000419711
SK02,cooling,service,0.000429466
SK03,cooling,service,0.000395268
SK04,cooling,service,0.000426093
UKC1,cooling,service,0.000325682
UKC2,cooling,service,0.000322447
UKD1,cooling,service,0.000331167
UKD3,cooling,service,0.000346191
UKD4,cooling,service,0.000341928
UKD6,cooling,service,0.000362496
UKD7,cooling,service,0.000367836
UKE1,cooling,service,0.000357359
UKE2,cooling,service,0.000337428
UKE3,cooling,service,0.000344899
UKE4,cooling,service,0.000333788
UKF1,cooling,service,0.000351433
UKF2,cooling,service,0.000368776
UKF3,cooling,service,0.000358834
UKG1,cooling,service,0.000360244
UKG2,cooling,service,0.00036769
UKG3,cooling,service,0.000373853
UKH1,cooling,service,0.000345854
UKH2,cooling,service,0.000356429
UKH3,cooling,service,0.000346086
UKI3,cooling,service,0.000341885
UKI4,cooling,service,0.000354565
UKI5,cooling,service,0.000350106
UKI6,cooling,service,0.000334152
UKI7,cooling,service,0.000358157
UKJ1,cooling,service,0.000361836
UKJ2,cooling,service,0.000348551
UKJ3,cooling,service,0.000338988
UKJ4,cooling,service,0.000335784
UKK1,cooling,service,0.000357106
UKK2,cooling,service,0.000347487
UKK3,cooling,service,0.000331957
UKK4,cooling,service,0.000334851
UKL1,cooling,service,0.000333455
UKL2,cooling,service,0.000346161
UKM2,cooling,service,0.000319053
UKM3,cooling,service,0.000327592
UKM5,cooling,service,0.000325299
UKM6,cooling,service,0.000330543
UKN0,cooling,service,0.000350441
