nuts2_id,heating_or_cooling,sector,120%load_factor
DEB1,heating,residential,0.000404695
DEB2,heating,residential,0.000401457
DEB3,heating,residential,0.000442162
DEC0,heating,residential,0.000430367
DED2,heating,residential,0.000452383
DED4,heating,residential,0.000423694
DED5,heating,residential,0.000464217
DEE0,heating,residential,0.000480313
DEF0,heating,residential,0.000424126
DEG0,heating,residential,0.000422408
DK01,heating,residential,0.000397033
DK02,heating,residential,0.000389657
DK03,heating,residential,0.000399765
DK04,heating,residential,0.000389338
DK05,heating,residential,0.000392562
EE00,heating,residential,0.000405641
EL42,heating,residential,0.000608989
EL51,heating,residential,0.000602178
EL52,heating,residential,0.000537765
EL53,heating,residential,0.000473792
EL54,heating,residential,0.000529567
EL61,heating,residential,0.000562771
EL63,heating,residential,0.000500471
EL64,heating,residential,0.000478124
ES11,heating,residential,0.000444885
ES12,heating,residential,0.000446257
ES13,heating,residential,0.000440094
ES21,heating,residential,0.000441747
ES22,heating,residential,0.000448485
ES23,heating,residential,0.000434392
ES24,heating,residential,0.000444146
ES30,heating,residential,0.000453821
ES41,heating,residential,0.000439221
ES42,heating,residential,0.000458696
ES43,heating,residential,0.000473261
ES51,heating,residential,0.000450039
ES52,heating,residential,0.000491078
ES53,heating,residential,0.000468524
ES61,heating,residential,0.000497627
ES62,heating,residential,0.000503371
ES70,heating,residential,0.000470503
FI19,heating,residential,0.000358813
FI1B,heating,residential,0.000385198
FI1C,heating,residential,0.000373363
FI1D,heating,residential,0.000329443
FI20,heating,residential,0.00041694
FR10,heating,residential,0.000455395
FR21,heating,residential,0.000423381
FR22,heating,residential,0.000424336
FR23,heating,residential,0.000425305
FR24,heating,residential,0.000455303
FR25,heating,residential,0.000402875
FR26,heating,residential,0.000422053
FR30,heating,residential,0.000415692
FR41,heating,residential,0.000422508
FR42,heating,residential,0.000467396
FR43,heating,residential,0.000420332
FR51,heating,residential,0.000452433
FR52,heating,residential,0.000402534
FR53,heating,residential,0.000454833
FR61,heating,residential,0.00048894
FR62,heating,residential,0.000485328
FR63,heating,residential,0.000439726
FR71,heating,residential,0.00042623
FR72,heating,residential,0.00043214
FR81,heating,residential,0.000493629
FR82,heating,residential,0.000455278
FR83,heating,residential,0.000488358
HR03,heating,residential,0.000434349
HR04,heating,residential,0.000457456
HU10,heating,residential,0.000471806
HU21,heating,residential,0.000458959
HU22,heating,residential,0.000472702
HU23,heating,residential,0.00046773
HU31,heating,residential,0.000473014
HU32,heating,residential,0.000479955
HU33,heating,residential,0.000489047
IE01,heating,residential,0.000419733
IE02,heating,residential,0.000418198
ITC1,heating,residential,0.000434939
ITC2,heating,residential,0.000374732
ITC3,heating,residential,0.000446217
ITC4,heating,residential,0.000439214
ITF1,heating,residential,0.000461821
ITF2,heating,residential,0.000487511
ITF3,heating,residential,0.000522833
ITF4,heating,residential,0.000540055
ITF5,heating,residential,0.000483847
ITF6,heating,residential,0.000490841
ITG2,heating,residential,0.000519395
ITH1,heating,residential,0.000384768
ITH2,heating,residential,0.000403947
ITH3,heating,residential,0.000458606
ITH4,heating,residential,0.000450486
ITH5,heating,residential,0.000459435
ITI1,heating,residential,0.000435174
ITI2,heating,residential,0.000446396
ITI3,heating,residential,0.000478803
ITI4,heating,residential,0.000498775
LT00,heating,residential,0.000444653
LU00,heating,residential,0.000412358
LV00,heating,residential,0.000429633
NL11,heating,residential,0.000416303
NL12,heating,residential,0.000447499
NL13,heating,residential,0.000415637
NL21,heating,residential,0.000458976
NL22,heating,residential,0.000429365
NL23,heating,residential,0.000455412
NL31,heating,residential,0.000441932
NL32,heating,residential,0.000464911
NL33,heating,residential,0.000453581
NL34,heating,residential,0.000450979
NL41,heating,residential,0.000445625
NL42,heating,residential,0.000444218
PL11,heating,residential,0.000508162
PL12,heating,residential,0.000506895
PL21,heating,residential,0.000510854
PL22,heating,residential,0.000513984
PL31,heating,residential,0.000514048
PL32,heating,residential,0.000526946
PL33,heating,residential,0.000513933
PL34,heating,residential,0.00047866
PL41,heating,residential,0.000515082
PL42,heating,residential,0.000485707
PL43,heating,residential,0.000510848
PL51,heating,residential,0.000498365
PL52,heating,residential,0.000527515
PL61,heating,residential,0.000497964
PL62,heating,residential,0.000477827
PL63,heating,residential,0.000453152
PT11,heating,residential,0.000482031
PT15,heating,residential,0.000502274
PT16,heating,residential,0.000504469
PT17,heating,residential,0.000504325
PT18,heating,residential,0.000519337
RO11,heating,residential,0.000536033
RO12,heating,residential,0.000562442
RO21,heating,residential,0.000577587
RO22,heating,residential,0.000700608
RO31,heating,residential,0.000664385
RO32,heating,residential,0.000698439
RO41,heating,residential,0.000688072
RO42,heating,residential,0.000555573
SE11,heating,residential,0.000423856
SE12,heating,residential,0.000406032
SE21,heating,residential,0.000428846
SE22,heating,residential,0.000438138
SE23,heating,residential,0.000433636
SE31,heating,residential,0.000368567
SE32,heating,residential,0.000335378
SE33,heating,residential,0.000322044
SI03,heating,residential,0.000446668
SI04,heating,residential,0.000413871
SK01,heating,residential,0.000488638
SK02,heating,residential,0.000499785
SK03,heating,residential,0.000448233
SK04,heating,residential,0.00048235
UKC1,heating,residential,0.000387543
UKC2,heating,residential,0.000380151
UKD1,heating,residential,0.000386231
UKD3,heating,residential,0.000391044
UKD4,heating,residential,0.000408178
UKD6,heating,residential,0.00041571
UKD7,heating,residential,0.00041986
UKE1,heating,residential,0.000398127
UKE2,heating,residential,0.000396159
UKE3,heating,residential,0.000389278
